水號,繳費年月,繳費金額,用水度數,同期增減金額,同期增減度數
51-18000100-6,2010-08-01,62929,3797,-3653,
51-18000200-K,2010-09-01,18604,1086,-471,
5Y-24001800-5,2010-09-01,237089,14449,-7360,
51-30963840-0,2010-09-01,14812,854,-1879,
51-06329700-9,2010-12-01,323,24,3,
51-18025522-8,2010-12-01,18782,1039,-1103,
51-06329700-9,2011-03-01,483,35,18,
51-06329700-9,2011-06-01,308,23,8,
51-19326740-5,2011-08-01,4627,278,,
51-18025522-8,2011-10-01,13142,694,-783,
51-06329700-9,2012-04-01,173,13,-8,
51-19326735-8,2013-07-01,10839,611,-1075,
51-18000200-K,2013-12-01,31635,1883,199,
51-30963840-0,2013-12-01,46155,2771,203,
51-18000201-5,2013-12-01,292301,17768,-5358,
51-18000200-K,2013-11-01,41511,2487,1037,
51-06329700-9,2013-11-01,281,21,3,
51-30963840-0,2013-11-01,42099,2523,176,
51-18000100-6,2013-11-01,91771,5561,-76,
51-18025522-8,2013-11-01,11915,619,288,
51-19326735-8,2013-11-01,16364,1474,-493,
51-06329700-9,2014-01-01,404,30,8,
51-18000201-5,2014-01-01,262724,15959,-5694,
51-18000100-6,2014-01-01,103346,6269,121,
5Y-24001800-5,2014-02-01,162174,9867,-1523,
51-18000201-5,2014-02-01,252899,15358,-3032,
51-18000100-6,2014-02-01,104654,6349,-10,
51-19326740-5,2014-02-01,8452,512,-74,
51-30963840-0,2013-08-01,23689,1397,-269,
51-18000100-6,2013-08-01,31079,1849,-1716,
51-19326740-5,2013-08-01,5999,362,52,
5Y-24001800-5,2009-06-01,304583,18577,,
51-18025522-8,2009-06-01,37994,2214,,
5Y-24001800-5,2009-09-01,177787,10822,,
5Y-24001800-5,2009-10-01,174714,10634,,
51-18025522-8,2009-11-01,35068,2035,,
5Y-24001800-5,2009-12-01,389179,23751,,
51-18000200-K,2013-09-01,22872,1347,179,
51-06329700-9,2013-09-01,173,13,-4,
51-19326735-8,2016-11-01,4517,247,-20,
51-18000200-K,2016-12-01,22202,1306,273,
5Y-24001800-5,2016-12-01,214884,13091,-630,
51-30963840-0,2016-12-01,43814,2628,-10,
51-18000201-5,2016-12-01,299835,18229,-2403,
51-19326740-5,2017-02-01,5230,347,-14,
51-19326735-8,2017-02-01,1086,12,6,
51-18000200-K,2017-03-01,12343,703,-85,
51-18000201-5,2017-03-01,236054,14328,-2146,
51-18025522-8,2017-03-01,19025,1054,770,
51-06329700-9,2014-12-01,305,23,4,
5Y-24001800-5,2014-12-01,234275,14277,-356,
51-18000100-6,2014-12-01,113092,6865,842,
51-19326740-5,2014-12-01,8513,568,-100,
51-18000200-K,2015-01-01,22594,1330,-256,
5Y-24001800-5,2015-01-01,198044,12061,-664,
51-18000201-5,2015-01-01,293395,17835,1876,
51-18000100-6,2015-01-01,114481,6950,681,
51-19326735-8,2015-01-01,1448,40,-25,
51-18000201-5,2017-08-01,256492,15578,-2836,
51-18000100-6,2017-08-01,29020,1723,-561,
51-19326740-5,2017-08-01,6924,461,187,
51-18000200-K,2017-09-01,24115,1423,389,
5Y-24001800-5,2017-09-01,143090,8700,2478,
51-18000100-6,2017-09-01,9695,541,-559,
51-19326735-8,2017-09-01,12580,790,12,
51-18000200-K,2017-10-01,19831,1161,83,
51-18000100-6,2017-10-01,30752,1829,-834,
51-19326735-8,2017-10-01,7887,474,256,
51-18000201-5,2017-11-01,345158,21001,3132,
51-18000100-6,2017-11-01,86213,5221,-519,
51-18000100-6,2012-08-01,59137,3565,261,
51-19326735-8,2017-11-01,4293,232,-15,
51-18000200-K,2017-12-01,27270,1616,310,
5Y-24001800-5,2017-12-01,205711,12530,-561,
51-18000201-5,2017-12-01,378593,23046,4817,
51-19326740-5,2017-12-01,9611,642,302,
5Y-24001800-5,2018-01-01,169823,10335,-4030,
51-18000201-5,2018-01-01,313815,19084,3882,
51-19326740-5,2018-01-01,6790,452,127,
51-19326735-8,2018-01-01,1348,33,21,
51-18000200-K,2018-02-01,23543,1388,424,
51-06329700-9,2018-02-01,292,22,-9,
51-30963840-0,2018-02-01,43111,2585,271,
51-18000201-5,2018-02-01,307586,18703,3962,
51-18025522-8,2018-02-01,23750,1343,859,
51-19326740-5,2018-02-01,6479,431,84,
51-19326735-8,2018-02-01,1799,64,52,
51-18000200-K,2018-03-01,21074,1237,534,
51-06329700-9,2018-03-01,387,29,1,
5Y-24001800-5,2018-03-01,96346,5841,2230,
51-18000201-5,2018-03-01,381815,23243,8915,
51-18000100-6,2018-03-01,28546,1694,77,
51-19326740-5,2018-03-01,5810,386,143,
51-18000200-K,2018-04-01,21515,1264,190,
51-18000200-K,2012-09-01,19945,1168,523,
51-30963840-0,2018-04-01,30439,1810,-400,
51-18000100-6,2018-04-01,75601,4572,-1049,
51-18000201-5,2018-05-01,256917,15604,-906,
51-18025522-8,2018-05-01,7775,366,-28,
51-19326740-5,2018-05-01,6731,448,114,
51-18000200-K,2018-06-01,38421,2298,1193,
51-06329700-9,2018-06-01,26,1,-26,
51-30963840-0,2018-06-01,38271,2289,78,
51-18000201-5,2018-06-01,308027,18730,1816,
51-18025522-8,2018-06-01,10310,521,-304,
51-18000200-K,2018-07-01,29232,1736,395,
51-06329700-9,2018-07-01,360,27,7,
51-18000100-6,2018-07-01,44635,2678,955,
51-18025522-8,2018-07-01,7825,369,-451,
51-06329700-9,2018-08-01,417,31,5,
51-30963840-0,2018-08-01,13794,792,-163,
51-18000100-6,2018-08-01,15417,891,350,
51-19326735-8,2018-08-01,7591,454,-336,
51-06329700-9,2018-09-01,320,24,-3,
5Y-24001800-5,2018-09-01,151461,9212,1709,
51-18000100-6,2018-09-01,32699,1948,119,
51-19326735-8,2018-09-01,4279,231,-243,
51-06329700-9,2018-10-01,333,25,2,
51-30963840-0,2018-10-01,39104,2340,-133,
51-18000100-6,2018-10-01,84610,5123,-98,
51-18000200-K,2018-11-01,40873,2448,832,
51-18000100-6,2018-11-01,109266,6631,455,
51-19326735-8,2018-11-01,3403,172,-29,
51-18000100-6,2012-09-01,21417,1258,-927,
51-18000200-K,2019-01-01,21467,1261,-226,
51-06329700-9,2022-01-01,292,22,,
51-19326735-8,2022-03-01,20718,1338,,
51-30963840-0,2022-04-01,40347,2416,,
51-30963840-0,2022-05-01,33546,2000,,
51-18000200-K,2022-06-01,26633,1577,,
5Y-24001800-5,2022-07-01,130321,7919,,
51-18000100-6,2022-08-01,26355,1560,,
51-18000201-5,2020-06-01,355492,21633,60447,3697
51-18000201-5,2020-03-01,288702,17548,20650,1263
51-18000201-5,2020-07-01,374130,22773,72987,4464
51-18000201-5,2021-05-01,298659,18157,-1324,-81
51-18000201-5,2021-06-01,281867,17130,-73625,-4503
51-18000201-5,2021-08-01,287573,17479,-74703,-4569
51-18000201-5,2021-09-01,282358,17160,-79329,-4852
51-18025522-8,2020-04-01,9149,450,-10398,-636
51-18025522-8,2020-05-01,4752,181,-36067,-2206
51-18025522-8,2020-06-01,6664,298,-4676,-286
51-18025522-8,2020-07-01,8283,397,-1733,-106
51-18025522-8,2020-08-01,9264,457,2208,135
5Y-24001800-5,2021-07-01,103425,6274,-97740,-5978
5Y-24001800-5,2021-08-01,82007,4964,-44358,-2713
5Y-24001800-5,2021-09-01,72590,4388,-48035,-2938
51-03000800-2,2020-02-01,13419,769,-10072,-616
51-03000800-2,2020-06-01,20024,1173,-752,-46
51-03000800-2,2020-07-01,18977,1109,2665,163
51-03000800-2,2020-08-01,23376,1378,10905,667
51-03000800-2,2020-09-01,31274,1861,16285,996
51-03000800-2,2022-01-01,16117,934,,
51-18000200-K,2022-01-01,21155,1242,,
51-18000100-6,2022-01-01,116575,7078,,
51-30963840-0,2022-01-01,44304,2658,,
51-18025522-8,2022-02-01,8790,428,,
51-18000200-K,2022-02-01,22742,1339,,
51-18000100-6,2022-02-01,129098,7844,,
51-18025522-8,2012-10-01,7517,350,-344,
51-30963840-0,2012-10-01,18555,1083,-36,
51-30963840-0,2012-11-01,39222,2347,-65,
5Y-24001800-5,2012-11-01,190067,11573,-4718,
51-18000201-5,2012-12-01,379904,23126,,
51-18025522-8,2012-12-01,7582,354,-118,
51-30963840-0,2012-12-01,42835,2568,229,
5Y-24001800-5,2012-12-01,207839,12660,138,
51-18025522-8,2013-01-01,7877,372,-29,
51-18000200-K,2013-01-01,27319,1619,739,
5Y-24001800-5,2013-01-01,178933,10892,627,
51-19326740-5,2013-01-01,8828,535,267,
51-19326735-8,2013-01-01,98,2,,
51-06329700-9,2013-02-01,420,31,5,
5Y-24001800-5,2013-02-01,187075,11390,1068,
51-19326735-8,2013-02-01,975,2,,
51-18000200-K,2013-03-01,28824,1711,478,
5Y-24001800-5,2013-03-01,108612,6591,1712,
51-30963840-0,2013-03-01,22055,1297,239,
51-18025522-8,2013-03-01,11229,577,119,
51-19326740-5,2013-03-01,6408,387,-122,
51-19326735-8,2013-03-01,1241,22,,
51-06329700-9,2008-01-01,295,22,,
51-18000100-6,2008-01-01,117801,7153,,
51-18000100-6,2008-02-01,125467,7622,,
51-18000201-5,2008-02-01,393721,23688,,
51-18025522-8,2008-02-01,42440,2290,,
51-30963840-0,2008-02-01,39289,1353,,
51-18000200-K,2008-02-01,33468,1995,,
51-18000201-5,2009-08-01,454674,27699,,
51-30963840-0,2009-08-01,22643,1333,,
51-18000200-K,2009-08-01,20355,1193,,
51-18000100-6,2009-09-01,23477,1384,,
51-18000100-6,2009-10-01,22399,1318,,
51-18000100-6,2009-11-01,90544,5486,,
51-30963840-0,2009-11-01,41855,2508,,
51-18000201-5,2009-12-01,469192,28587,,
51-18000200-K,2009-12-01,23330,1375,,
51-18000201-5,2010-02-01,445223,27121,,
51-30963840-0,2010-02-01,41298,2474,,
51-18000200-K,2010-03-01,18131,1057,,
51-18000100-6,2010-04-01,86605,5245,,
51-18000201-5,2010-04-01,534870,32604,,
51-18000201-5,2010-05-01,518145,31581,,
51-30963840-0,2010-05-01,37374,2234,,
51-18000200-K,2010-05-01,21368,1255,,
51-18000100-6,2010-06-01,116475,7072,,
51-30963840-0,2010-06-01,44454,2668,,
51-18000200-K,2010-06-01,21516,1264,,
51-06329700-9,2010-07-01,213,16,-5,
5Y-24001800-5,2010-07-01,359863,21958,149,
51-30963840-0,2010-07-01,43981,2638,-95,
51-18000100-6,2010-07-01,113009,6860,-590,
51-18000200-K,2010-08-01,21874,1286,-271,
5Y-24001800-5,2010-08-01,300299,18315,-3494,
51-18025522-8,2010-09-01,37208,2166,24,
51-18000100-6,2010-09-01,22561,1328,-6122,
5Y-24001800-5,2010-10-01,281627,17173,-4636,
51-18000201-5,2010-10-01,498361,30371,-2392,
5Y-24001800-5,2010-11-01,363295,22168,359,
51-19326740-5,2010-11-01,9581,581,,
5Y-24001800-5,2010-12-01,398285,24308,2499,
51-19326740-5,2010-12-01,4185,251,,
51-30963840-0,2010-12-01,45794,2749,16,
51-18000201-5,2010-12-01,542800,33089,,
51-18000200-K,2011-01-01,24441,1443,-114,
5Y-24001800-5,2011-01-01,328486,20039,-1770,
51-19326740-5,2011-01-01,3988,239,,
51-30963840-0,2011-01-01,38077,2277,-456,
51-18025522-8,2011-01-01,15169,818,-1324,
51-18000200-K,2011-02-01,30540,1816,566,
51-06329700-9,2011-02-01,295,22,6,
51-18025522-8,2011-02-01,14694,789,-333,
51-18000200-K,2011-03-01,25783,1525,468,
5Y-24001800-5,2011-03-01,363475,22179,10378,
51-19326740-5,2011-03-01,3776,226,,
51-30963840-0,2011-03-01,18016,1050,-521,
51-18000201-5,2011-03-01,587747,35838,,
51-18025522-8,2011-03-01,16526,901,-261,
51-18000100-6,2011-03-01,43637,2617,-788,
5Y-24001800-5,2011-04-01,358701,21887,5033,
51-30963840-0,2011-04-01,31358,1866,-312,
51-18000100-6,2011-04-01,91803,5563,318,
51-18000200-K,2011-05-01,29265,1738,483,
5Y-24001800-5,2011-05-01,332459,20282,3700,
51-18000200-K,2011-06-01,35707,2132,868,
51-19326740-5,2011-06-01,5999,362,,
51-30963840-0,2011-06-01,40562,2429,-380,
51-18000201-5,2011-06-01,521757,31802,3864,
51-18000100-6,2011-06-01,102856,6239,-833,
51-18000200-K,2011-07-01,33304,1985,535,
51-06329700-9,2011-07-01,336,25,9,
51-19326740-5,2011-07-01,5264,317,,
51-30963840-0,2011-07-01,39239,2348,-290,
51-18025522-8,2011-07-01,14579,782,-902,
51-06329700-9,2011-08-01,241,18,-2,
51-18000100-6,2011-08-01,54870,3304,-493,
51-30963840-0,2011-09-01,13782,791,-63,
51-18000201-5,2011-09-01,588449,35881,,
51-06329700-9,2011-10-01,323,24,6,
5Y-24001800-5,2011-10-01,139987,8510,-8663,
51-30963840-0,2011-10-01,19144,1119,-83,
5Y-24001800-5,2011-11-01,267207,16291,-5877,
51-18000201-5,2011-11-01,614708,37487,,
51-18000100-6,2011-11-01,99390,6027,78,
51-18000200-K,2011-12-01,14583,840,-721,
51-06329700-9,2011-12-01,323,24,0,
5Y-24001800-5,2011-12-01,205583,12522,-11786,
51-18025522-8,2011-12-01,9511,472,-567,
5Y-24001800-5,2012-01-01,168682,10265,-9774,
51-18000100-6,2012-01-01,99603,6040,243,
51-19326740-5,2012-02-01,20257,1234,939,
51-30963840-0,2012-02-01,45664,2741,437,
51-18025522-8,2012-02-01,8499,410,-379,
51-18000100-6,2012-02-01,114906,6976,426,
51-18000200-K,2012-03-01,21008,1233,-292,
51-06329700-9,2012-03-01,146,11,-24,
51-18025522-8,2010-01-01,36815,2142,,
5Y-24001800-5,2010-01-01,357426,21809,,
5Y-24001800-5,2010-02-01,246279,15011,,
5Y-24001800-5,2010-03-01,193795,11801,,
5Y-24001800-5,2010-04-01,276412,16854,,
51-18025522-8,2010-05-01,23982,1357,,
5Y-24001800-5,2010-05-01,271963,16582,,
5Y-24001800-5,2010-06-01,311629,19008,,
5Y-24001800-5,2009-01-01,318022,19399,,
5Y-24001800-5,2009-02-01,332771,20301,,
5Y-24001800-5,2008-02-01,267338,16299,,
51-18000201-5,2008-03-01,389093,23971,,
5Y-24001800-5,2008-03-01,238070,14509,,
51-06329700-9,2008-04-01,308,23,,
51-18000201-5,2012-10-01,668843,40798,,
51-19326740-5,2012-10-01,7307,442,139,
51-19326740-5,2012-03-01,8402,509,283,
51-18000201-5,2012-03-01,694544,42370,,
51-18000100-6,2012-03-01,31767,1891,-726,
51-18000200-K,2012-04-01,22496,1324,-150,
51-19326740-5,2012-04-01,4561,274,45,
51-18000201-5,2012-04-01,528069,32188,2485,
51-18025522-8,2012-04-01,7385,342,-453,
51-18000100-6,2012-04-01,89122,5399,-164,
51-18000200-K,2012-05-01,22806,1343,-395,
51-06329700-9,2012-05-01,228,17,-8,
5Y-24001800-5,2012-05-01,215393,13122,-7160,
51-19326740-5,2012-05-01,5853,353,86,
51-18000201-5,2012-05-01,611486,37290,,
51-06329700-9,2012-06-01,186,14,-9,
51-30963840-0,2012-06-01,38372,2295,-134,
51-18000200-K,2010-07-01,24556,1450,-107,
51-18000201-5,2010-09-01,546577,33320,,
51-18000200-K,2013-04-01,25766,1524,200,
51-06329700-9,2013-04-01,268,20,7,
51-18000201-5,2013-04-01,278356,16915,-15273,
51-18025522-8,2013-04-01,11097,569,227,
51-19326740-5,2013-04-01,8141,493,219,
51-18000200-K,2013-05-01,32224,1919,576,
51-18000201-5,2013-05-01,285435,17348,,
51-18000100-6,2013-05-01,84986,5146,-884,
51-18025522-8,2013-05-01,14679,788,411,
51-19326740-5,2013-05-01,12590,765,412,
51-19326735-8,2013-05-01,5378,277,145,
51-18000200-K,2013-06-01,26452,1566,186,
51-06329700-9,2013-06-01,254,19,5,
51-18025522-8,2013-06-01,8188,391,44,
51-19326735-8,2013-06-01,8909,493,,
51-18000200-K,2013-08-01,22986,1354,-34,
51-06329700-9,2013-08-01,268,20,0,
51-19326735-8,2016-12-01,4056,216,32,
51-18000201-5,2014-03-01,263002,15976,-2454,
51-18000100-6,2014-03-01,32845,1957,-889,
51-19326740-5,2014-03-01,8093,490,103,
51-19326735-8,2014-03-01,1200,19,-3,
5Y-24001800-5,2014-04-01,180664,10998,1573,
51-30963840-0,2014-04-01,46004,2762,659,
51-18000201-5,2014-04-01,225164,13662,-3253,
51-30963840-0,2017-05-01,32745,1951,-300,
51-18000201-5,2017-05-01,271730,16510,2407,
51-18000100-6,2017-05-01,88926,5387,-577,
51-19326735-8,2017-05-01,22010,1425,-28,
51-30963840-0,2017-06-01,35605,2126,-608,
51-18000201-5,2017-06-01,263408,16001,-1205,
51-18025522-8,2017-06-01,12371,647,-266,
51-19326735-8,2017-06-01,4650,256,-51,
51-18000200-K,2017-07-01,18916,1105,243,
51-06329700-9,2017-07-01,360,27,4,
5Y-24001800-5,2017-07-01,200789,12229,-1856,
51-19326735-8,2012-08-01,14141,813,,
51-18000100-6,2017-07-01,94207,5710,-694,
51-19326740-5,2017-07-01,8142,543,140,
51-18000200-K,2017-08-01,22775,1341,557,
5Y-24001800-5,2017-08-01,97393,5905,-2011,
51-30963840-0,2017-08-01,23098,1361,-35,
51-06329700-9,2019-10-01,305,23,-1,
51-30963840-0,2019-10-01,25845,1529,515,
51-18000100-6,2019-10-01,49982,3005,1057,
51-18025522-8,2019-10-01,8200,392,-86,
51-19326740-5,2019-10-01,4370,289,9,
5Y-24001800-5,2019-11-01,276997,16890,3733,
51-30963840-0,2019-11-01,42424,2543,203,
51-06329700-9,2022-03-01,346,26,,
